seed,row_id,true_label,margin_equal_weight,delta_bound_l1,delta_actual_linf,prediction_changed,provably_invariant_by_bound,provably_invariant_by_actual
42,0,DoS/DDoS,1.0,0.0002883011250717493,0.0,False,True,True
42,1,DoS/DDoS,1.0,0.0002883011250717493,0.0,False,True,True
42,2,DoS/DDoS,1.0,0.0002883011250717493,0.0,False,True,True
42,3,DoS/DDoS,1.0,0.0002883011250717493,0.0,False,True,True
42,4,Normal,1.0,0.00013394180798015354,0.0,False,True,True
42,5,Normal,1.0,0.00013394180798015354,0.0,False,True,True
42,6,Normal,1.0,0.00013394180798015354,0.0,False,True,True
42,7,DoS/DDoS,1.0,0.0002883011250717493,0.0,False,True,True
42,8,DoS/DDoS,0.9982914349280166,0.00032776628944305997,2.0366623754153323e-07,False,True,True
42,9,DoS/DDoS,1.0,0.0002883011250717493,0.0,False,True,True
42,10,DoS/DDoS,0.9829699278452018,0.000275657059290918,5.635699165239955e-07,False,True,True
42,11,Brute Force,0.9999550537453661,0.00032346851785378106,1.4538698369508817e-08,False,True,True
42,12,DoS/DDoS,1.0,0.0002883011250717493,0.0,False,True,True
42,13,Brute Force,0.9999913849666147,0.0003202269621597198,1.1305506875425138e-09,False,True,True
42,14,Normal,1.0,0.00013394180798015354,0.0,False,True,True
42,15,Normal,0.9289374153178596,0.001534416171408759,1.539889880819434e-05,False,True,True
42,16,Normal,0.9965579075861122,0.00014272294536574193,6.571233424068623e-08,False,True,True
42,17,DoS/DDoS,1.0,0.0002883011250717493,0.0,False,True,True
42,18,Brute Force,0.9999550537453661,0.00032346851785378106,1.4538698369508817e-08,False,True,True
42,19,Normal,1.0,0.00013394180798015354,0.0,False,True,True
42,20,Normal,1.0,0.00013394180798015354,0.0,False,True,True
42,21,Normal,1.0,0.00013394180798015354,0.0,False,True,True
42,22,Brute Force,0.9999913849666147,0.0003202269621597198,1.1305506875425138e-09,False,True,True
42,23,Brute Force,0.9999550537453661,0.00032346851785378106,1.4538698369508817e-08,False,True,True
42,24,Brute Force,0.9999550537453661,0.00032346851785378106,1.4538698369508817e-08,False,True,True
42,25,DoS/DDoS,1.0,0.0002883011250717493,0.0,False,True,True
42,26,DoS/DDoS,1.0,0.0002883011250717493,0.0,False,True,True
42,27,DoS/DDoS,1.0,0.0002883011250717493,0.0,False,True,True
42,28,DoS/DDoS,0.9949966398162418,0.00031722412997473026,1.348863031269687e-07,False,True,True
