seed,row_id,true_label,margin_equal_weight,delta_bound_l1,delta_actual_linf,prediction_changed,provably_invariant_by_bound,provably_invariant_by_actual
3407,0,DoS/DDoS,1.0,0.00019849596495205568,0.0,False,True,True
3407,1,DoS/DDoS,1.0,0.00019849596495205568,0.0,False,True,True
3407,2,DoS/DDoS,1.0,0.00019849596495205568,0.0,False,True,True
3407,3,DoS/DDoS,1.0,0.00019849596495205568,0.0,False,True,True
3407,4,Normal,0.9958292709026919,3.858214582608266e-05,4.503198111236936e-08,False,True,True
3407,5,Normal,1.0,1.892180102422425e-05,1.1102230246251565e-16,False,True,True
3407,6,Normal,1.0,1.892180102422425e-05,1.1102230246251565e-16,False,True,True
3407,7,DoS/DDoS,1.0,0.00019849596495205568,0.0,False,True,True
3407,8,DoS/DDoS,0.9943968331559419,0.0004662492035737986,2.089887566114612e-06,False,True,True
3407,9,DoS/DDoS,1.0,0.00019849596495205568,0.0,False,True,True
3407,10,DoS/DDoS,0.9920008583077033,0.0002670525119656264,4.0627559998868135e-07,False,True,True
3407,11,Brute Force,1.0,0.00013766294234129894,0.0,False,True,True
3407,12,DoS/DDoS,0.9999457628850072,0.00020050235331894872,2.286871580992056e-09,False,True,True
3407,13,Brute Force,0.9999979641826544,0.00013778090781468855,1.1315948178491908e-11,False,True,True
3407,14,Normal,1.0,1.892180102422425e-05,1.1102230246251565e-16,False,True,True
3407,15,Normal,0.9471161538841928,0.0006224604370087816,8.369338595045489e-06,False,True,True
3407,16,Normal,0.9949685776036459,6.775172061429524e-05,1.0266561911720373e-07,False,True,True
3407,17,DoS/DDoS,1.0,0.00019849596495205568,0.0,False,True,True
3407,18,Brute Force,1.0,0.00013766294234129894,0.0,False,True,True
3407,19,Normal,1.0,1.892180102422425e-05,1.1102230246251565e-16,False,True,True
3407,20,Normal,1.0,1.892180102422425e-05,1.1102230246251565e-16,False,True,True
3407,21,Normal,1.0,1.892180102422425e-05,1.1102230246251565e-16,False,True,True
3407,22,Brute Force,0.9999979641826544,0.00013778090781468855,1.1315948178491908e-11,False,True,True
3407,23,Brute Force,1.0,0.00013766294234129894,0.0,False,True,True
3407,24,Brute Force,1.0,0.00013766294234129894,0.0,False,True,True
3407,25,DoS/DDoS,1.0,0.00019849596495205568,0.0,False,True,True
3407,26,DoS/DDoS,0.9950000000000001,0.0001427807723226593,2.021687917378931e-07,False,True,True
3407,27,DoS/DDoS,1.0,0.00019849596495205568,0.0,False,True,True
3407,28,DoS/DDoS,0.9950000000000001,0.00030666462788431215,2.909363162172801e-07,False,True,True
3407,29,Brute Force,1.0,0.00013766294234129894,0.0,False,True,True
3407,30,DoS/DDoS,1.0,0.00019849596495205568,0.0,False,True,True
